"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 23 14:40:40 GMT 2023","Mon Oct 23 14:40:43 GMT 2023","2590","tests","test_login","","","","Check login",""
"passed","Mon Oct 23 14:40:36 GMT 2023","Mon Oct 23 14:40:39 GMT 2023","2495","tests","Landing Page","TestLandingPage","","","Check search input",""
"passed","Mon Oct 23 14:40:44 GMT 2023","Mon Oct 23 14:40:45 GMT 2023","1583","tests","test_login","","","","Check login",""
"passed","Mon Oct 23 14:40:32 GMT 2023","Mon Oct 23 14:40:35 GMT 2023","3189","tests","Landing Page","TestLandingPage","","","Check brand name",""
