"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 23 14:54:26 GMT 2023","Mon Oct 23 14:54:27 GMT 2023","1229","tests","test_login","","","","Check login",""
"passed","Mon Oct 23 14:54:22 GMT 2023","Mon Oct 23 14:54:24 GMT 2023","2582","tests","test_login","","","","Check login",""
